Resource,DS-OWNER,DS-CRM,DS-CONT,DS-OP,DS-SV,DS-CS,DS-CS-MGR,DS-3PL,DS-CRD,DS-GAC,troubleshooting,DS-VD,DS-SD
Magento_SalesArchive::shipments,,,,,,,,,,,1,,
Magento_SalesArchive::creditmemos,,,,,,,,,,,1,,
Bluecom_Paygent::orderfailed,,,,1,1,,,,1,,1,,
Bluecom_Paygent::paygenterrorhandling,,,,,,,,,,,1,,
Magento_AdvancedCheckout::magento_advancedcheckout,,,,,,,,,,,1,,
Magento_AdvancedCheckout::view,,,,,,,,,,,1,,
Magento_AdvancedCheckout::update,,,,,,,,,,,1,,
Magento_Catalog::catalog,1,1,1,1,1,1,1,,1,1,1,1,
Magento_CatalogPermissions::catalog_magento_catalogpermissions,1,,,,,,,,,,1,1,
Magento_Catalog::category,1,,,,,,,,,,1,1,
Magento_Catalog::category_view,1,,,,,,,,,,1,1,
Magento_Catalog::category_create,1,,,,,,,,,,1,1,
Magento_Catalog::category_edit,1,,,,,,,,,,1,1,
Magento_Catalog::category_delete,1,,,,,,,,,,1,1,
Magento_Catalog::actions,1,1,1,1,1,1,1,,1,1,1,1,
Magento_Catalog::actions_view,1,1,1,1,1,1,1,,1,1,1,1,
Magento_Catalog::actions_create,1,,,,,,,,,,1,,
Magento_Catalog::actions_edit,1,,,,,1,1,,,,1,,
Magento_Catalog::actions_delete,1,,,,,,,,,,1,,
Magento_Catalog::actions_export,1,,,,,,,,,,1,,
Magento_Catalog::catalog_inventory,1,1,1,1,1,1,1,,1,1,1,1,
Magento_Catalog::products,1,1,1,1,1,1,1,,1,1,1,1,
Magento_PricePermissions::read_product_price,1,,,,,1,,,,,1,,
Magento_PricePermissions::edit_product_price,1,,,,,1,,,,,1,,
Magento_PricePermissions::edit_product_status,1,,,,,1,,,,,1,,
Wyomind_AdvancedInventory::main,1,1,1,1,1,1,1,,1,1,1,1,
Wyomind_AdvancedInventory::config,,,,,,,,,,,1,1,
Wyomind_AdvancedInventory::stocks,1,1,1,1,1,1,1,,1,1,1,,
Wyomind_AdvancedInventory::product,1,1,1,1,1,1,1,,1,1,1,,
Wyomind_AdvancedInventory::permissions,,,,,,,,,,,1,,
Wyomind_AdvancedInventory::journal,,,,,,,,,,,1,,
Magento_Catalog::categories,1,,,,,,,,,,1,1,
Magento_Sales::add_gps_price,1,,,,,1,,,,,1,,
Magento_Sales::edit_gps_price,1,,,,,1,,,,,1,,
Magento_Sales::delete_gps_price,1,,,,,1,,,,,1,,
Riki_Questionnaire::answers,1,,,,,,,,,,1,,
Riki_Questionnaire::answers_view,,,,,,,,,,,1,,
Riki_Questionnaire::answersdelete,,,,,,,,,,,1,,
Magento_Customer::customer,1,1,,1,1,1,1,,1,,1,1,
Magento_Customer::manage,1,,,1,1,1,1,,1,,,1,
Magento_Reward::reward_balance,1,,,,,,,,,,,1,
Riki_Customer::view,1,,,1,1,1,1,,1,,,1,
Riki_Customer::new,,,,1,1,,,,1,,,,
Riki_Customer::edit,,,,1,1,,,,1,,,,
Riki_Customer::delete,,,,1,1,,,,,,,,
Riki_Customer::create_shosha_customer,,,,,1,,,,,,,,
Riki_Customer::viewpoint,1,,,1,1,1,1,,1,,,1,
Riki_Customer::addpoint,,,,,,,,,1,,,,
Riki_Customer::export,,,,,,,,,1,,,,
Magento_Customer::online,,,,,,,,,,,1,,
Magento_CustomerSegment::customersegment,1,1,,,,,,,,,1,,
Magento_Cart::cart,,,,,,,,,,,1,,
Magento_Cart::manage,,,,,,,,,,,1,,
Riki_Questionnaire::importQuestionaire,,,,,,,,,,,1,,
Riki_SubscriptionFrequency::subscription,,,,1,1,,,,1,,1,1,
Riki_SubscriptionProfileDisengagement::profile_disengage,,,,1,,,,,,,1,1,
Riki_SubscriptionCourse::course,1,,,,,,,,,,1,1,
Riki_SubscriptionCourse::save,1,,,,,,,,,,1,,
Riki_SubscriptionCourse::delete,,,,,,,,,,,1,,
Riki_SubscriptionFrequency::frequency,1,,,,,,,,,,1,,
Riki_SubscriptionFrequency::save,1,,,,,,,,,,1,,
Riki_SubscriptionFrequency::delete,1,,,,,,,,,,1,,
Riki_TimeSlots::manage_time_slots,1,,,,,1,,,,,1,,
Riki_TimeSlots::manage_time_slots_save,1,,,,,1,,,,,1,,
Riki_TimeSlots::manage_time_slots_delete,1,,,,,1,,,,,1,,
Riki_Subscription::replace_product,1,,,,,,,,,,1,,
Riki_Subscription::product_course,1,,,,,,,,,,1,,
Riki_Subscription::profile,,,,1,1,,,,1,,1,1,
Riki_Subscription::profile_edit,,,,1,1,,,,1,,1,1,
Riki_Subscription::change_earn_point,,,,,,,,,1,,1,,
Riki_Subscription::edit_sales_count,,,,1,,,,,,,1,,
Riki_SubscriptionProfileDisengagement::reason,1,,,,,,,,1,,1,,
Riki_SubscriptionProfileDisengagement::reason_save,1,,,,,,,,1,,1,,
Riki_SubscriptionProfileDisengagement::reason_delete,1,,,,,,,,1,,1,,
Magento_Backend::marketing,1,,1,,,,,,,,1,,
Magento_CatalogRule::promo,1,,,,,,,,,,1,,
Magento_CatalogRule::promo_catalog,1,,,,,,,,,,1,,
Magento_PromotionPermissions::edit,1,,,,,,,,,,1,,
Magento_TargetRule::targetrule,1,,,,,,,,,,1,,
Magento_SalesRule::quote,1,,,,,,,,,,1,,
Magento_PromotionPermissions::quote_edit,1,,,,,,,,,,1,,
Magento_GiftCardAccount::customer_giftcardaccount,,,,,,,,,,,1,,
Riki_SalesRule::promo_quote_import,1,,,,,,,,,,1,,
Magento_Enterprise::marketing_private_sales,,,,,,,,,,,1,,
Magento_CatalogEvent::events,,,,,,,,,,,1,,
Magento_Invitation::magento_invitation,,,,,,,,,,,1,,
Magento_Backend::marketing_communications,1,,,,,,,,,,1,,
Magento_Email::template,1,,,,,,,,,,1,,
Magento_Newsletter::template,,,,,,,,,,,1,,
Magento_Newsletter::queue,,,,,,,,,,,1,,
Magento_Newsletter::subscriber,,,,,,,,,,,1,,
Magento_Reminder::magento_reminder,,,,,,,,,,,1,,
Magento_PromotionPermissions::magento_reminder_edit,,,,,,,,,,,1,,
Magento_Backend::marketing_seo,1,,,,,,,,,,1,,
Magento_Search::search,1,,,,,,,,,,1,,
Magento_Sitemap::sitemap,1,,,,,,,,,,1,,
Magento_Backend::marketing_user_content,,,,,,,,,,,1,,
Magento_Review::reviews_all,,,,,,,,,,,1,,
Magento_Backend::myaccount,1,1,1,1,1,1,1,1,1,1,1,1,1
Magento_Backend::content,,,,,,,,,,,1,1,
Magento_Backend::content_elements,,,,,,,,,,,1,1,
Magento_Cms::page,,,,,,,,,,,1,1,
Magento_Cms::save,,,,,,,,,,,1,1,
Magento_VersionsCms::save_revision,,,,,,,,,,,1,1,
Magento_Cms::page_delete,,,,,,,,,,,1,1,
Magento_VersionsCms::delete_revision,,,,,,,,,,,1,1,
Magento_VersionsCms::publish_revision,,,,,,,,,,,1,1,
Magento_VersionsCms::hierarchy,,,,,,,,,,,1,1,
Magento_Cms::block,,,,,,,,,,,1,1,
Magento_Banner::magento_banner,,,,,,,,,,,1,1,
Magento_Widget::widget_instance,,,,,,,,,,,1,1,
Magento_Cms::media_gallery,,,,,,,,,,,1,1,
Riki_Customer::enquiry_category,,,,,,,,,1,,1,,
Riki_Customer::category_save,,,,,,,,,1,,1,,
